 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Magnesium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.7366E+00 g/cm3 = 4.3027E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.105E-01  1.153E-02     234 A       211 A       164 A   
   1.10 keV   1.159E-01  1.131E-02     255 A       223 A       175 A   
   1.20 keV   1.211E-01  1.109E-02     276 A       235 A       185 A   
   1.30 keV   1.260E-01  1.087E-02     296 A       246 A       194 A   
   1.40 keV   1.308E-01  1.067E-02     317 A       257 A       204 A   
   1.50 keV   1.354E-01  1.047E-02     337 A       267 A       212 A   
   1.60 keV   1.398E-01  1.028E-02     358 A       277 A       221 A   
   1.70 keV   1.441E-01  1.009E-02     378 A       286 A       230 A   
   1.80 keV   1.483E-01  9.916E-03     398 A       296 A       238 A   
   2.00 keV   1.563E-01  9.581E-03     438 A       313 A       254 A   
   2.25 keV   1.650E-01  9.196E-03     487 A       333 A       273 A   
   2.50 keV   1.732E-01  8.845E-03     535 A       352 A       290 A   
   2.75 keV   1.809E-01  8.523E-03     583 A       370 A       307 A   
   3.00 keV   1.883E-01  8.228E-03     631 A       386 A       324 A   
   3.25 keV   1.954E-01  7.955E-03     678 A       402 A       339 A   
   3.50 keV   2.022E-01  7.703E-03     724 A       417 A       354 A   
   3.75 keV   2.088E-01  7.470E-03     770 A       431 A       368 A   
   4.00 keV   2.151E-01  7.252E-03     815 A       444 A       382 A   
   4.50 keV   2.271E-01  6.858E-03     904 A       469 A       408 A   
   5.00 keV   2.384E-01  6.512E-03     991 A       491 A       433 A   
