 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Manganese.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.4341E+00 g/cm3 = 8.1488E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mn     25    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.028E-02  4.737E-03      80 A       115 A        85 A   
   1.10 keV   4.225E-02  4.715E-03      87 A       122 A        91 A   
   1.20 keV   4.413E-02  4.689E-03      94 A       129 A        96 A   
   1.30 keV   4.593E-02  4.659E-03     102 A       136 A       102 A   
   1.40 keV   4.766E-02  4.626E-03     109 A       143 A       107 A   
   1.50 keV   4.934E-02  4.592E-03     116 A       149 A       112 A   
   1.60 keV   5.095E-02  4.556E-03     123 A       155 A       117 A   
   1.70 keV   5.252E-02  4.520E-03     130 A       161 A       122 A   
   1.80 keV   5.405E-02  4.482E-03     138 A       167 A       126 A   
   2.00 keV   5.697E-02  4.407E-03     152 A       179 A       136 A   
   2.25 keV   6.026E-02  4.313E-03     170 A       192 A       147 A   
   2.50 keV   6.329E-02  4.221E-03     188 A       206 A       158 A   
   2.75 keV   6.610E-02  4.131E-03     206 A       218 A       168 A   
   3.00 keV   6.870E-02  4.044E-03     225 A       230 A       178 A   
   3.25 keV   7.114E-02  3.960E-03     243 A       242 A       188 A   
   3.50 keV   7.342E-02  3.880E-03     261 A       253 A       197 A   
   3.75 keV   7.557E-02  3.802E-03     279 A       264 A       207 A   
   4.00 keV   7.763E-02  3.728E-03     298 A       275 A       216 A   
   4.50 keV   8.151E-02  3.589E-03     334 A       296 A       234 A   
   5.00 keV   8.520E-02  3.461E-03     371 A       315 A       251 A   
