 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Nitrogen (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2500E-03 g/cm3 = 5.3741E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.249E-01  1.828E-02   30.98 um    23.72 um    18.89 um  
   1.10 keV   1.310E-01  1.773E-02   33.89 um    25.13 um    20.14 um  
   1.20 keV   1.368E-01  1.721E-02   36.79 um    26.48 um    21.34 um  
   1.30 keV   1.424E-01  1.672E-02   39.67 um    27.76 um    22.49 um  
   1.40 keV   1.478E-01  1.626E-02   42.53 um    28.98 um    23.61 um  
   1.50 keV   1.530E-01  1.583E-02   45.36 um    30.14 um    24.69 um  
   1.60 keV   1.580E-01  1.543E-02   48.18 um    31.26 um    25.74 um  
   1.70 keV   1.629E-01  1.505E-02   50.97 um    32.33 um    26.75 um  
   1.80 keV   1.676E-01  1.469E-02   53.74 um    33.36 um    27.74 um  
   2.00 keV   1.767E-01  1.403E-02   59.23 um    35.29 um    29.63 um  
   2.25 keV   1.867E-01  1.330E-02   65.99 um    37.52 um    31.86 um  
   2.50 keV   1.961E-01  1.265E-02   72.64 um    39.58 um    33.96 um  
   2.75 keV   2.051E-01  1.207E-02   79.19 um    41.48 um    35.95 um  
   3.00 keV   2.137E-01  1.155E-02   85.64 um    43.26 um    37.83 um  
   3.25 keV   2.219E-01  1.108E-02   91.98 um    44.91 um    39.63 um  
   3.50 keV   2.298E-01  1.065E-02   98.23 um    46.47 um    41.34 um  
