 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Sodium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.7000E-01 g/cm3 = 2.5408E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Na     11    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.019E-01  1.170E-02     439 A       398 A       310 A   
   1.10 keV   1.068E-01  1.145E-02     479 A       422 A       330 A   
   1.20 keV   1.116E-01  1.121E-02     519 A       444 A       349 A   
   1.30 keV   1.161E-01  1.098E-02     559 A       466 A       368 A   
   1.40 keV   1.205E-01  1.075E-02     598 A       486 A       385 A   
   1.50 keV   1.248E-01  1.054E-02     638 A       506 A       403 A   
   1.60 keV   1.288E-01  1.033E-02     677 A       525 A       420 A   
   1.70 keV   1.328E-01  1.013E-02     716 A       543 A       436 A   
   1.80 keV   1.367E-01  9.946E-03     754 A       561 A       452 A   
   2.00 keV   1.441E-01  9.590E-03     831 A       595 A       483 A   
   2.25 keV   1.524E-01  9.185E-03     926 A       634 A       519 A   
   2.50 keV   1.602E-01  8.817E-03    1019 A       670 A       554 A   
   2.75 keV   1.673E-01  8.481E-03    1112 A       704 A       587 A   
   3.00 keV   1.738E-01  8.175E-03    1203 A       736 A       618 A   
   3.25 keV   1.799E-01  7.893E-03    1294 A       766 A       648 A   
   3.50 keV   1.855E-01  7.634E-03    1384 A       795 A       677 A   
   3.75 keV   1.907E-01  7.393E-03    1473 A       822 A       705 A   
   4.00 keV   1.957E-01  7.170E-03    1562 A       848 A       732 A   
   4.50 keV   2.050E-01  6.769E-03    1738 A       897 A       784 A   
