 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Niobium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  8.5700E+00 g/cm3 = 5.5549E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nb     41    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.115E-02  2.519E-03      77 A       111 A        83 A   
   1.10 keV   4.316E-02  2.530E-03      83 A       118 A        88 A   
   1.20 keV   4.508E-02  2.537E-03      90 A       124 A        92 A   
   1.30 keV   4.692E-02  2.541E-03      96 A       130 A        97 A   
   1.40 keV   4.869E-02  2.542E-03     102 A       136 A       102 A   
   1.50 keV   5.040E-02  2.541E-03     108 A       142 A       106 A   
   1.60 keV   5.205E-02  2.538E-03     114 A       147 A       110 A   
   1.70 keV   5.365E-02  2.534E-03     121 A       152 A       115 A   
   1.80 keV   5.521E-02  2.528E-03     127 A       158 A       119 A   
   2.00 keV   5.820E-02  2.514E-03     139 A       168 A       127 A   
   2.25 keV   6.148E-02  2.492E-03     154 A       180 A       136 A   
   2.50 keV   6.466E-02  2.468E-03     169 A       191 A       146 A   
   2.75 keV   6.776E-02  2.441E-03     184 A       202 A       155 A   
   3.00 keV   7.080E-02  2.413E-03     199 A       213 A       163 A   
   3.25 keV   7.378E-02  2.385E-03     214 A       223 A       172 A   
   3.50 keV   7.671E-02  2.356E-03     228 A       233 A       180 A   
   3.75 keV   7.960E-02  2.328E-03     243 A       242 A       187 A   
   4.00 keV   8.244E-02  2.299E-03     257 A       251 A       195 A   
   4.50 keV   8.802E-02  2.244E-03     286 A       268 A       210 A   
   5.00 keV   9.346E-02  2.189E-03     314 A       284 A       223 A   
