 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Neodymium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.0080E+00 g/cm3 = 2.9258E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nd     60    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.063E-02  1.390E-03     115 A       182 A       134 A   
   1.10 keV   3.212E-02  1.404E-03     124 A       193 A       142 A   
   1.20 keV   3.355E-02  1.416E-03     133 A       203 A       150 A   
   1.30 keV   3.492E-02  1.426E-03     142 A       212 A       157 A   
   1.40 keV   3.624E-02  1.434E-03     150 A       222 A       164 A   
   1.50 keV   3.751E-02  1.440E-03     159 A       231 A       171 A   
   1.60 keV   3.874E-02  1.445E-03     168 A       240 A       178 A   
   1.70 keV   3.993E-02  1.449E-03     176 A       248 A       185 A   
   1.80 keV   4.109E-02  1.452E-03     185 A       257 A       191 A   
   2.00 keV   4.331E-02  1.455E-03     202 A       273 A       204 A   
   2.25 keV   4.566E-02  1.456E-03     223 A       293 A       219 A   
   2.50 keV   4.788E-02  1.453E-03     244 A       311 A       234 A   
   2.75 keV   5.001E-02  1.449E-03     265 A       330 A       248 A   
   3.00 keV   5.206E-02  1.443E-03     286 A       347 A       262 A   
   3.25 keV   5.405E-02  1.435E-03     307 A       364 A       276 A   
   3.50 keV   5.597E-02  1.427E-03     328 A       380 A       289 A   
   3.75 keV   5.784E-02  1.418E-03     348 A       396 A       301 A   
   4.00 keV   5.965E-02  1.408E-03     369 A       412 A       314 A   
   4.50 keV   6.314E-02  1.388E-03     410 A       441 A       338 A   
   5.00 keV   6.647E-02  1.368E-03     451 A       469 A       361 A   
