 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Neon (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.0000E-04 g/cm3 = 2.6857E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ne     10    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.868E-02  1.359E-02   59.40 um    72.68 um    54.86 um  
   1.10 keV   4.057E-02  1.328E-02   65.72 um    78.22 um    59.22 um  
   1.20 keV   4.237E-02  1.297E-02   72.10 um    83.62 um    63.51 um  
   1.30 keV   4.410E-02  1.268E-02   78.54 um    88.90 um    67.72 um  
   1.40 keV   4.577E-02  1.240E-02   85.04 um    94.05 um    71.87 um  
   1.50 keV   4.737E-02  1.214E-02   91.59 um    99.09 um    75.95 um  
   1.60 keV   4.893E-02  1.189E-02   98.19 um   104.02 um    79.97 um  
   1.70 keV   5.043E-02  1.165E-02  104.83 um   108.84 um    83.93 um  
   1.80 keV   5.189E-02  1.141E-02  111.51 um   113.57 um    87.83 um  
   2.00 keV   5.470E-02  1.098E-02  124.99 um   122.65 um    95.52 um  
   2.25 keV   5.855E-02  1.049E-02  141.92 um   133.50 um   104.79 um  
   2.50 keV   6.232E-02  1.005E-02  158.83 um   143.79 um   113.66 um  
   2.75 keV   6.599E-02  9.655E-03  175.71 um   153.55 um   122.17 um  
   3.00 keV   6.957E-02  9.291E-03  192.53 um   162.79 um   130.35 um  
   3.25 keV   7.308E-02  8.958E-03  209.27 um   171.56 um   138.21 um  
   3.50 keV   7.653E-02  8.652E-03  225.91 um   179.88 um   145.77 um  
