 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Nickel.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.718E-02  4.590E-03      66 A       101 A        75 A   
   1.10 keV   3.900E-02  4.578E-03      72 A       107 A        80 A   
   1.20 keV   4.073E-02  4.562E-03      78 A       113 A        84 A   
   1.30 keV   4.239E-02  4.541E-03      84 A       119 A        89 A   
   1.40 keV   4.399E-02  4.518E-03      90 A       125 A        93 A   
   1.50 keV   4.554E-02  4.492E-03      96 A       131 A        98 A   
   1.60 keV   4.703E-02  4.464E-03     102 A       137 A       102 A   
   1.70 keV   4.848E-02  4.435E-03     108 A       142 A       106 A   
   1.80 keV   4.988E-02  4.405E-03     114 A       147 A       111 A   
   2.00 keV   5.258E-02  4.342E-03     126 A       157 A       119 A   
   2.25 keV   5.544E-02  4.263E-03     141 A       170 A       128 A   
   2.50 keV   5.811E-02  4.183E-03     156 A       181 A       138 A   
   2.75 keV   6.065E-02  4.104E-03     171 A       193 A       147 A   
   3.00 keV   6.306E-02  4.027E-03     186 A       204 A       156 A   
   3.25 keV   6.538E-02  3.952E-03     201 A       214 A       165 A   
   3.50 keV   6.759E-02  3.879E-03     216 A       225 A       173 A   
   3.75 keV   6.973E-02  3.809E-03     231 A       235 A       182 A   
   4.00 keV   7.179E-02  3.741E-03     247 A       245 A       190 A   
   4.50 keV   7.571E-02  3.612E-03     277 A       263 A       206 A   
   5.00 keV   7.940E-02  3.493E-03     308 A       281 A       221 A   
