 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Oxygen (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.4300E-03 g/cm3 = 5.3825E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      O      8    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.389E-02  1.655E-02   29.79 um    25.99 um    20.35 um  
   1.10 keV   9.848E-02  1.609E-02   32.68 um    27.65 um    21.76 um  
   1.20 keV   1.029E-01  1.566E-02   35.58 um    29.23 um    23.12 um  
   1.30 keV   1.071E-01  1.525E-02   38.46 um    30.75 um    24.44 um  
   1.40 keV   1.111E-01  1.486E-02   41.33 um    32.21 um    25.72 um  
   1.50 keV   1.150E-01  1.450E-02   44.19 um    33.61 um    26.97 um  
   1.60 keV   1.188E-01  1.415E-02   47.05 um    34.96 um    28.18 um  
   1.70 keV   1.224E-01  1.383E-02   49.89 um    36.26 um    29.36 um  
   1.80 keV   1.260E-01  1.352E-02   52.72 um    37.52 um    30.51 um  
   2.00 keV   1.328E-01  1.294E-02   58.34 um    39.90 um    32.73 um  
   2.25 keV   1.389E-01  1.230E-02   65.34 um    42.68 um    35.38 um  
   2.50 keV   1.446E-01  1.173E-02   72.34 um    45.31 um    37.91 um  
   2.75 keV   1.502E-01  1.122E-02   79.31 um    47.79 um    40.35 um  
   3.00 keV   1.555E-01  1.076E-02   86.25 um    50.13 um    42.70 um  
   3.25 keV   1.607E-01  1.034E-02   93.14 um    52.35 um    44.96 um  
   3.50 keV   1.658E-01  9.960E-03   99.98 um    54.46 um    47.14 um  
