 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Osmium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.2480E+01 g/cm3 = 7.1175E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Os     76    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.310E-02  9.400E-04      45 A       101 A        73 A   
   1.10 keV   1.374E-02  9.531E-04      48 A       107 A        77 A   
   1.20 keV   1.435E-02  9.642E-04      52 A       112 A        81 A   
   1.30 keV   1.494E-02  9.737E-04      55 A       118 A        85 A   
   1.40 keV   1.550E-02  9.818E-04      59 A       123 A        90 A   
   1.50 keV   1.605E-02  9.887E-04      62 A       129 A        93 A   
   1.60 keV   1.657E-02  9.947E-04      66 A       134 A        97 A   
   1.70 keV   1.708E-02  9.998E-04      69 A       139 A       101 A   
   1.80 keV   1.758E-02  1.004E-03      73 A       144 A       105 A   
   2.00 keV   1.853E-02  1.011E-03      80 A       154 A       112 A   
   2.25 keV   1.941E-02  1.017E-03      88 A       166 A       121 A   
   2.50 keV   2.024E-02  1.020E-03      97 A       177 A       130 A   
   2.75 keV   2.105E-02  1.021E-03     106 A       188 A       138 A   
   3.00 keV   2.185E-02  1.021E-03     114 A       199 A       146 A   
   3.25 keV   2.263E-02  1.020E-03     123 A       210 A       154 A   
   3.50 keV   2.339E-02  1.018E-03     132 A       221 A       162 A   
   3.75 keV   2.414E-02  1.015E-03     140 A       231 A       170 A   
   4.00 keV   2.488E-02  1.011E-03     149 A       241 A       178 A   
   4.50 keV   2.633E-02  1.003E-03     167 A       260 A       193 A   
   5.00 keV   2.774E-02  9.934E-04     184 A       279 A       207 A   
