 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Phosphorus.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.808E-02  9.039E-03     245 A       249 A       191 A   
   1.10 keV   9.238E-02  8.904E-03     267 A       263 A       203 A   
   1.20 keV   9.649E-02  8.769E-03     289 A       278 A       215 A   
   1.30 keV   1.004E-01  8.635E-03     311 A       291 A       226 A   
   1.40 keV   1.042E-01  8.504E-03     332 A       304 A       237 A   
   1.50 keV   1.079E-01  8.374E-03     354 A       317 A       248 A   
   1.60 keV   1.114E-01  8.248E-03     375 A       329 A       258 A   
   1.70 keV   1.148E-01  8.124E-03     397 A       341 A       268 A   
   1.80 keV   1.182E-01  8.004E-03     418 A       352 A       278 A   
   2.00 keV   1.246E-01  7.774E-03     460 A       373 A       297 A   
   2.25 keV   1.306E-01  7.505E-03     513 A       399 A       320 A   
   2.50 keV   1.363E-01  7.255E-03     565 A       423 A       341 A   
   2.75 keV   1.419E-01  7.023E-03     618 A       446 A       362 A   
   3.00 keV   1.474E-01  6.807E-03     670 A       467 A       382 A   
   3.25 keV   1.528E-01  6.606E-03     721 A       488 A       402 A   
   3.50 keV   1.582E-01  6.418E-03     772 A       508 A       420 A   
   3.75 keV   1.635E-01  6.242E-03     823 A       526 A       439 A   
   4.00 keV   1.689E-01  6.077E-03     873 A       544 A       456 A   
   4.50 keV   1.795E-01  5.776E-03     971 A       577 A       489 A   
   5.00 keV   1.900E-01  5.508E-03    1067 A       608 A       520 A   
