 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lead.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.889E-02  8.326E-04      88 A       166 A       121 A   
   1.10 keV   1.981E-02  8.451E-04      94 A       175 A       128 A   
   1.20 keV   2.069E-02  8.558E-04     101 A       184 A       135 A   
   1.30 keV   2.153E-02  8.650E-04     108 A       193 A       141 A   
   1.40 keV   2.235E-02  8.730E-04     114 A       202 A       148 A   
   1.50 keV   2.313E-02  8.799E-04     121 A       210 A       154 A   
   1.60 keV   2.389E-02  8.859E-04     127 A       219 A       160 A   
   1.70 keV   2.463E-02  8.911E-04     134 A       227 A       166 A   
   1.80 keV   2.534E-02  8.956E-04     140 A       234 A       172 A   
   2.00 keV   2.671E-02  9.029E-04     153 A       249 A       183 A   
   2.25 keV   2.814E-02  9.093E-04     169 A       267 A       197 A   
   2.50 keV   2.947E-02  9.135E-04     184 A       285 A       211 A   
   2.75 keV   3.072E-02  9.160E-04     200 A       302 A       224 A   
   3.00 keV   3.192E-02  9.170E-04     216 A       319 A       236 A   
   3.25 keV   3.305E-02  9.170E-04     232 A       335 A       249 A   
   3.50 keV   3.414E-02  9.160E-04     247 A       350 A       261 A   
   3.75 keV   3.519E-02  9.144E-04     263 A       366 A       273 A   
   4.00 keV   3.620E-02  9.122E-04     278 A       381 A       284 A   
   4.50 keV   3.811E-02  9.065E-04     310 A       409 A       307 A   
   5.00 keV   3.991E-02  8.994E-04     341 A       437 A       329 A   
