 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Palladium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2020E+01 g/cm3 = 6.8030E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pd     46    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.109E-02  2.100E-03      60 A        98 A        72 A   
   1.10 keV   3.260E-02  2.114E-03      65 A       103 A        76 A   
   1.20 keV   3.405E-02  2.123E-03      70 A       109 A        80 A   
   1.30 keV   3.544E-02  2.130E-03      75 A       114 A        85 A   
   1.40 keV   3.678E-02  2.134E-03      80 A       120 A        89 A   
   1.50 keV   3.807E-02  2.136E-03      85 A       125 A        93 A   
   1.60 keV   3.932E-02  2.137E-03      90 A       130 A        96 A   
   1.70 keV   4.053E-02  2.136E-03      95 A       135 A       100 A   
   1.80 keV   4.171E-02  2.134E-03     100 A       139 A       104 A   
   2.00 keV   4.396E-02  2.128E-03     109 A       148 A       111 A   
   2.25 keV   4.626E-02  2.115E-03     121 A       159 A       120 A   
   2.50 keV   4.844E-02  2.100E-03     133 A       170 A       128 A   
   2.75 keV   5.053E-02  2.082E-03     146 A       180 A       136 A   
   3.00 keV   5.256E-02  2.063E-03     158 A       190 A       144 A   
   3.25 keV   5.452E-02  2.043E-03     170 A       200 A       152 A   
   3.50 keV   5.643E-02  2.023E-03     182 A       209 A       159 A   
   3.75 keV   5.829E-02  2.002E-03     194 A       218 A       167 A   
   4.00 keV   6.009E-02  1.981E-03     206 A       227 A       174 A   
   4.50 keV   6.358E-02  1.939E-03     230 A       244 A       188 A   
   5.00 keV   6.690E-02  1.897E-03     254 A       260 A       201 A   
