 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Promethium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  6.4750E+00 g/cm3 = 2.6346E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pm     61    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.247E-02  1.336E-03     124 A       191 A       141 A   
   1.10 keV   3.405E-02  1.350E-03     134 A       202 A       149 A   
   1.20 keV   3.557E-02  1.362E-03     144 A       213 A       157 A   
   1.30 keV   3.702E-02  1.371E-03     153 A       223 A       165 A   
   1.40 keV   3.842E-02  1.379E-03     163 A       233 A       173 A   
   1.50 keV   3.976E-02  1.385E-03     172 A       242 A       180 A   
   1.60 keV   4.107E-02  1.390E-03     181 A       251 A       187 A   
   1.70 keV   4.233E-02  1.394E-03     190 A       260 A       194 A   
   1.80 keV   4.356E-02  1.397E-03     200 A       269 A       201 A   
   2.00 keV   4.591E-02  1.401E-03     218 A       286 A       214 A   
   2.25 keV   4.833E-02  1.402E-03     240 A       306 A       230 A   
   2.50 keV   5.059E-02  1.400E-03     263 A       326 A       245 A   
   2.75 keV   5.273E-02  1.396E-03     286 A       344 A       260 A   
   3.00 keV   5.477E-02  1.391E-03     308 A       363 A       275 A   
   3.25 keV   5.673E-02  1.384E-03     330 A       380 A       289 A   
   3.50 keV   5.860E-02  1.377E-03     352 A       397 A       302 A   
   3.75 keV   6.041E-02  1.368E-03     374 A       414 A       316 A   
   4.00 keV   6.215E-02  1.359E-03     397 A       430 A       329 A   
   4.50 keV   6.547E-02  1.341E-03     440 A       461 A       354 A   
   5.00 keV   6.860E-02  1.321E-03     484 A       490 A       379 A   
