 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Polonium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.2511E+00 g/cm3 = 2.6529E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Po     84    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.962E-02  8.231E-04     100 A       154 A       113 A   
   1.10 keV   3.106E-02  8.357E-04     107 A       163 A       120 A   
   1.20 keV   3.245E-02  8.466E-04     115 A       171 A       126 A   
   1.30 keV   3.377E-02  8.559E-04     122 A       179 A       132 A   
   1.40 keV   3.505E-02  8.641E-04     129 A       186 A       138 A   
   1.50 keV   3.628E-02  8.711E-04     136 A       194 A       143 A   
   1.60 keV   3.747E-02  8.773E-04     143 A       201 A       149 A   
   1.70 keV   3.862E-02  8.827E-04     150 A       208 A       154 A   
   1.80 keV   3.974E-02  8.873E-04     157 A       214 A       159 A   
   2.00 keV   4.189E-02  8.949E-04     170 A       228 A       170 A   
   2.25 keV   4.388E-02  9.018E-04     187 A       243 A       182 A   
   2.50 keV   4.571E-02  9.063E-04     204 A       258 A       194 A   
   2.75 keV   4.743E-02  9.091E-04     221 A       273 A       205 A   
   3.00 keV   4.906E-02  9.105E-04     238 A       287 A       217 A   
   3.25 keV   5.060E-02  9.108E-04     254 A       301 A       228 A   
   3.50 keV   5.207E-02  9.102E-04     271 A       315 A       239 A   
   3.75 keV   5.348E-02  9.089E-04     287 A       328 A       249 A   
   4.00 keV   5.483E-02  9.070E-04     304 A       341 A       260 A   
   4.50 keV   5.738E-02  9.018E-04     336 A       366 A       280 A   
   5.00 keV   5.975E-02  8.953E-04     369 A       391 A       300 A   
