 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Praseodymium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  6.7730E+00 g/cm3 = 2.8945E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pr     59    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.322E-02  1.439E-03     116 A       178 A       131 A   
   1.10 keV   3.484E-02  1.454E-03     125 A       188 A       139 A   
   1.20 keV   3.639E-02  1.466E-03     134 A       198 A       146 A   
   1.30 keV   3.788E-02  1.475E-03     143 A       207 A       154 A   
   1.40 keV   3.931E-02  1.483E-03     152 A       216 A       161 A   
   1.50 keV   4.069E-02  1.489E-03     160 A       225 A       167 A   
   1.60 keV   4.202E-02  1.494E-03     169 A       234 A       174 A   
   1.70 keV   4.332E-02  1.498E-03     178 A       242 A       180 A   
   1.80 keV   4.457E-02  1.500E-03     186 A       250 A       187 A   
   2.00 keV   4.698E-02  1.503E-03     203 A       266 A       199 A   
   2.25 keV   4.950E-02  1.503E-03     225 A       285 A       214 A   
   2.50 keV   5.186E-02  1.500E-03     246 A       303 A       228 A   
   2.75 keV   5.411E-02  1.495E-03     267 A       321 A       242 A   
   3.00 keV   5.627E-02  1.489E-03     288 A       337 A       256 A   
   3.25 keV   5.834E-02  1.481E-03     309 A       354 A       269 A   
   3.50 keV   6.034E-02  1.472E-03     329 A       370 A       282 A   
   3.75 keV   6.227E-02  1.462E-03     350 A       385 A       294 A   
   4.00 keV   6.414E-02  1.452E-03     371 A       400 A       306 A   
   4.50 keV   6.771E-02  1.431E-03     412 A       429 A       330 A   
