 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Platinum.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.1450E+01 g/cm3 = 6.6215E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.393E-02  9.090E-04      47 A       103 A        74 A   
   1.10 keV   1.461E-02  9.220E-04      51 A       109 A        79 A   
   1.20 keV   1.526E-02  9.330E-04      54 A       114 A        83 A   
   1.30 keV   1.588E-02  9.425E-04      58 A       120 A        87 A   
   1.40 keV   1.648E-02  9.506E-04      62 A       126 A        91 A   
   1.50 keV   1.706E-02  9.577E-04      65 A       131 A        95 A   
   1.60 keV   1.762E-02  9.637E-04      69 A       136 A        99 A   
   1.70 keV   1.816E-02  9.689E-04      72 A       142 A       103 A   
   1.80 keV   1.869E-02  9.733E-04      76 A       147 A       107 A   
   2.00 keV   1.970E-02  9.804E-04      83 A       156 A       114 A   
   2.25 keV   2.072E-02  9.864E-04      92 A       168 A       123 A   
   2.50 keV   2.167E-02  9.900E-04     101 A       180 A       132 A   
   2.75 keV   2.257E-02  9.917E-04     110 A       191 A       140 A   
   3.00 keV   2.342E-02  9.920E-04     119 A       202 A       148 A   
   3.25 keV   2.424E-02  9.912E-04     128 A       213 A       157 A   
   3.50 keV   2.503E-02  9.895E-04     137 A       223 A       164 A   
   3.75 keV   2.578E-02  9.870E-04     146 A       233 A       172 A   
   4.00 keV   2.651E-02  9.840E-04     155 A       243 A       180 A   
   4.50 keV   2.789E-02  9.766E-04     173 A       263 A       195 A   
   5.00 keV   2.920E-02  9.679E-04     191 A       282 A       210 A   
