 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Rhenium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.0530E+01 g/cm3 = 6.6397E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Re     75    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.505E-02  9.722E-04      48 A       101 A        73 A   
   1.10 keV   1.579E-02  9.855E-04      51 A       107 A        78 A   
   1.20 keV   1.649E-02  9.968E-04      55 A       113 A        82 A   
   1.30 keV   1.716E-02  1.006E-03      59 A       119 A        86 A   
   1.40 keV   1.781E-02  1.015E-03      63 A       124 A        90 A   
   1.50 keV   1.844E-02  1.022E-03      66 A       129 A        94 A   
   1.60 keV   1.904E-02  1.028E-03      70 A       135 A        98 A   
   1.70 keV   1.963E-02  1.033E-03      74 A       140 A       102 A   
   1.80 keV   2.020E-02  1.037E-03      77 A       145 A       106 A   
   2.00 keV   2.129E-02  1.044E-03      85 A       154 A       113 A   
   2.25 keV   2.238E-02  1.050E-03      94 A       166 A       122 A   
   2.50 keV   2.340E-02  1.053E-03     103 A       177 A       130 A   
   2.75 keV   2.438E-02  1.054E-03     112 A       188 A       139 A   
   3.00 keV   2.532E-02  1.053E-03     121 A       199 A       147 A   
   3.25 keV   2.622E-02  1.052E-03     130 A       210 A       155 A   
   3.50 keV   2.709E-02  1.049E-03     139 A       220 A       163 A   
   3.75 keV   2.793E-02  1.046E-03     148 A       230 A       170 A   
   4.00 keV   2.875E-02  1.042E-03     158 A       240 A       178 A   
   4.50 keV   3.029E-02  1.034E-03     176 A       259 A       193 A   
   5.00 keV   3.175E-02  1.023E-03     195 A       277 A       207 A   
