 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Rhodium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2399E+01 g/cm3 = 7.2555E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Rh     45    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.560E-02  2.208E-03      60 A       105 A        77 A   
   1.10 keV   2.685E-02  2.221E-03      65 A       111 A        82 A   
   1.20 keV   2.805E-02  2.230E-03      70 A       118 A        86 A   
   1.30 keV   2.919E-02  2.236E-03      75 A       124 A        91 A   
   1.40 keV   3.030E-02  2.240E-03      79 A       129 A        95 A   
   1.50 keV   3.136E-02  2.242E-03      84 A       135 A       100 A   
   1.60 keV   3.239E-02  2.242E-03      89 A       141 A       104 A   
   1.70 keV   3.338E-02  2.241E-03      94 A       146 A       108 A   
   1.80 keV   3.435E-02  2.238E-03      99 A       151 A       112 A   
   2.00 keV   3.621E-02  2.230E-03     109 A       162 A       120 A   
   2.25 keV   3.815E-02  2.216E-03     121 A       174 A       130 A   
   2.50 keV   3.998E-02  2.199E-03     134 A       186 A       139 A   
   2.75 keV   4.175E-02  2.179E-03     146 A       198 A       148 A   
   3.00 keV   4.346E-02  2.158E-03     159 A       209 A       157 A   
   3.25 keV   4.509E-02  2.137E-03     171 A       220 A       165 A   
   3.50 keV   4.667E-02  2.114E-03     184 A       230 A       174 A   
   3.75 keV   4.819E-02  2.092E-03     196 A       241 A       182 A   
   4.00 keV   4.964E-02  2.069E-03     209 A       251 A       190 A   
   4.50 keV   5.239E-02  2.024E-03     234 A       270 A       206 A   
   5.00 keV   5.495E-02  1.980E-03     259 A       289 A       221 A   
