 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Radon (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.9100E+00 g/cm3 = 2.6882E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Rn     86    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.195E-02  7.479E-04     102 A       177 A       129 A   
   1.10 keV   2.302E-02  7.596E-04     109 A       187 A       137 A   
   1.20 keV   2.404E-02  7.696E-04     117 A       196 A       144 A   
   1.30 keV   2.502E-02  7.784E-04     124 A       206 A       151 A   
   1.40 keV   2.597E-02  7.860E-04     132 A       215 A       158 A   
   1.50 keV   2.688E-02  7.926E-04     139 A       223 A       164 A   
   1.60 keV   2.776E-02  7.984E-04     146 A       232 A       171 A   
   1.70 keV   2.862E-02  8.035E-04     154 A       240 A       177 A   
   1.80 keV   2.945E-02  8.079E-04     161 A       248 A       183 A   
   2.00 keV   3.104E-02  8.151E-04     175 A       264 A       195 A   
   2.25 keV   3.264E-02  8.218E-04     193 A       282 A       209 A   
   2.50 keV   3.413E-02  8.263E-04     210 A       301 A       223 A   
   2.75 keV   3.555E-02  8.292E-04     228 A       318 A       237 A   
   3.00 keV   3.690E-02  8.308E-04     245 A       335 A       250 A   
   3.25 keV   3.819E-02  8.313E-04     263 A       352 A       263 A   
   3.50 keV   3.943E-02  8.311E-04     280 A       368 A       276 A   
   3.75 keV   4.062E-02  8.301E-04     297 A       384 A       288 A   
   4.00 keV   4.178E-02  8.287E-04     315 A       399 A       300 A   
   4.50 keV   4.398E-02  8.244E-04     349 A       428 A       323 A   
