 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Ruthenium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2300E+01 g/cm3 = 7.3286E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ru     44    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.631E-02  2.250E-03      60 A       104 A        76 A   
   1.10 keV   2.760E-02  2.262E-03      65 A       110 A        81 A   
   1.20 keV   2.883E-02  2.271E-03      70 A       116 A        85 A   
   1.30 keV   3.000E-02  2.276E-03      75 A       122 A        90 A   
   1.40 keV   3.114E-02  2.280E-03      80 A       128 A        94 A   
   1.50 keV   3.223E-02  2.281E-03      85 A       134 A        99 A   
   1.60 keV   3.329E-02  2.280E-03      90 A       139 A       103 A   
   1.70 keV   3.431E-02  2.278E-03      95 A       144 A       107 A   
   1.80 keV   3.530E-02  2.275E-03     100 A       150 A       111 A   
   2.00 keV   3.721E-02  2.266E-03     109 A       160 A       119 A   
   2.25 keV   3.969E-02  2.250E-03     122 A       172 A       128 A   
   2.50 keV   4.205E-02  2.232E-03     134 A       184 A       137 A   
   2.75 keV   4.427E-02  2.211E-03     146 A       195 A       146 A   
   3.00 keV   4.637E-02  2.189E-03     159 A       205 A       154 A   
   3.25 keV   4.834E-02  2.166E-03     171 A       216 A       163 A   
   3.50 keV   5.018E-02  2.142E-03     183 A       226 A       170 A   
   3.75 keV   5.190E-02  2.119E-03     195 A       235 A       178 A   
   4.00 keV   5.350E-02  2.095E-03     207 A       245 A       186 A   
   4.50 keV   5.632E-02  2.048E-03     232 A       263 A       201 A   
