 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Sulfur.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.0686E+00 g/cm3 = 3.8848E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      S     16    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.158E-01  9.011E-03     194 A       181 A       140 A   
   1.10 keV   1.214E-01  8.889E-03     211 A       191 A       149 A   
   1.20 keV   1.268E-01  8.766E-03     227 A       200 A       157 A   
   1.30 keV   1.320E-01  8.642E-03     244 A       210 A       165 A   
   1.40 keV   1.370E-01  8.519E-03     260 A       219 A       172 A   
   1.50 keV   1.418E-01  8.398E-03     276 A       227 A       179 A   
   1.60 keV   1.464E-01  8.279E-03     292 A       235 A       186 A   
   1.70 keV   1.509E-01  8.163E-03     308 A       243 A       193 A   
   1.80 keV   1.553E-01  8.049E-03     324 A       251 A       200 A   
   2.00 keV   1.637E-01  7.830E-03     355 A       265 A       213 A   
   2.25 keV   1.737E-01  7.572E-03     393 A       282 A       228 A   
   2.50 keV   1.824E-01  7.331E-03     431 A       297 A       242 A   
   2.75 keV   1.899E-01  7.106E-03     469 A       312 A       256 A   
   3.00 keV   1.963E-01  6.896E-03     506 A       326 A       269 A   
   3.25 keV   2.018E-01  6.700E-03     543 A       339 A       282 A   
   3.50 keV   2.066E-01  6.516E-03     580 A       352 A       294 A   
   3.75 keV   2.112E-01  6.343E-03     616 A       364 A       306 A   
   4.00 keV   2.157E-01  6.181E-03     653 A       376 A       318 A   
   4.50 keV   2.251E-01  5.884E-03     726 A       398 A       341 A   
   5.00 keV   2.357E-01  5.619E-03     798 A       418 A       362 A   
