 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Antimony.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  6.6840E+00 g/cm3 = 3.3060E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sb     51    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.929E-02  1.734E-03     109 A       157 A       116 A   
   1.10 keV   4.121E-02  1.748E-03     118 A       166 A       123 A   
   1.20 keV   4.304E-02  1.759E-03     127 A       174 A       130 A   
   1.30 keV   4.480E-02  1.767E-03     135 A       183 A       136 A   
   1.40 keV   4.649E-02  1.773E-03     143 A       191 A       142 A   
   1.50 keV   4.812E-02  1.777E-03     152 A       198 A       148 A   
   1.60 keV   4.970E-02  1.780E-03     160 A       206 A       154 A   
   1.70 keV   5.123E-02  1.781E-03     168 A       213 A       160 A   
   1.80 keV   5.271E-02  1.782E-03     177 A       221 A       166 A   
   2.00 keV   5.556E-02  1.780E-03     193 A       234 A       177 A   
   2.25 keV   5.856E-02  1.774E-03     213 A       251 A       190 A   
   2.50 keV   6.137E-02  1.765E-03     233 A       266 A       202 A   
   2.75 keV   6.406E-02  1.754E-03     253 A       282 A       215 A   
   3.00 keV   6.664E-02  1.741E-03     273 A       296 A       226 A   
   3.25 keV   6.911E-02  1.727E-03     293 A       310 A       238 A   
   3.50 keV   7.150E-02  1.713E-03     313 A       324 A       249 A   
   3.75 keV   7.381E-02  1.698E-03     332 A       337 A       260 A   
   4.00 keV   7.604E-02  1.683E-03     352 A       350 A       271 A   
   4.50 keV   8.032E-02  1.651E-03     391 A       374 A       291 A   
   5.00 keV   8.437E-02  1.620E-03     429 A       397 A       311 A   
