 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Scandium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.9890E+00 g/cm3 = 4.0039E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sc     21    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.641E-02  6.012E-03     164 A       181 A       138 A   
   1.10 keV   8.014E-02  5.964E-03     178 A       192 A       146 A   
   1.20 keV   8.371E-02  5.911E-03     192 A       202 A       155 A   
   1.30 keV   8.712E-02  5.856E-03     206 A       212 A       162 A   
   1.40 keV   9.041E-02  5.799E-03     220 A       221 A       170 A   
   1.50 keV   9.359E-02  5.740E-03     234 A       230 A       178 A   
   1.60 keV   9.665E-02  5.682E-03     248 A       239 A       185 A   
   1.70 keV   9.963E-02  5.623E-03     261 A       247 A       192 A   
   1.80 keV   1.025E-01  5.564E-03     275 A       255 A       199 A   
   2.00 keV   1.081E-01  5.448E-03     302 A       271 A       212 A   
   2.25 keV   1.144E-01  5.306E-03     336 A       290 A       228 A   
   2.50 keV   1.204E-01  5.171E-03     369 A       307 A       243 A   
   2.75 keV   1.261E-01  5.041E-03     402 A       323 A       258 A   
   3.00 keV   1.316E-01  4.918E-03     435 A       339 A       272 A   
   3.25 keV   1.368E-01  4.801E-03     467 A       354 A       285 A   
   3.50 keV   1.418E-01  4.690E-03     499 A       368 A       298 A   
   3.75 keV   1.466E-01  4.584E-03     531 A       381 A       310 A   
   4.00 keV   1.513E-01  4.484E-03     562 A       394 A       322 A   
   4.50 keV   1.602E-01  4.297E-03     625 A       418 A       345 A   
   5.00 keV   1.685E-01  4.127E-03     686 A       440 A       367 A   
