 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Selenium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.8100E+00 g/cm3 = 3.6684E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Se     34    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.382E-02  2.998E-03     133 A       185 A       138 A   
   1.10 keV   4.596E-02  3.001E-03     144 A       196 A       146 A   
   1.20 keV   4.800E-02  3.000E-03     156 A       206 A       154 A   
   1.30 keV   4.996E-02  2.996E-03     167 A       217 A       162 A   
   1.40 keV   5.184E-02  2.989E-03     178 A       226 A       170 A   
   1.50 keV   5.366E-02  2.980E-03     189 A       236 A       177 A   
   1.60 keV   5.542E-02  2.970E-03     200 A       245 A       185 A   
   1.70 keV   5.713E-02  2.958E-03     210 A       254 A       192 A   
   1.80 keV   5.879E-02  2.945E-03     221 A       263 A       199 A   
   2.00 keV   6.197E-02  2.916E-03     243 A       280 A       213 A   
   2.25 keV   6.570E-02  2.877E-03     270 A       300 A       229 A   
   2.50 keV   6.922E-02  2.836E-03     297 A       319 A       245 A   
   2.75 keV   7.256E-02  2.795E-03     324 A       338 A       260 A   
   3.00 keV   7.576E-02  2.753E-03     350 A       355 A       274 A   
   3.25 keV   7.882E-02  2.711E-03     376 A       372 A       288 A   
   3.50 keV   8.176E-02  2.670E-03     403 A       388 A       302 A   
   3.75 keV   8.459E-02  2.630E-03     429 A       404 A       315 A   
   4.00 keV   8.733E-02  2.590E-03     455 A       419 A       328 A   
   4.50 keV   9.255E-02  2.514E-03     507 A       447 A       353 A   
   5.00 keV   9.747E-02  2.443E-03     558 A       474 A       376 A   
