 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Samarium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.5200E+00 g/cm3 = 3.0118E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sm     62    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.107E-02  1.309E-03     108 A       170 A       125 A   
   1.10 keV   3.259E-02  1.323E-03     117 A       180 A       133 A   
   1.20 keV   3.404E-02  1.335E-03     125 A       189 A       140 A   
   1.30 keV   3.543E-02  1.345E-03     134 A       198 A       146 A   
   1.40 keV   3.676E-02  1.353E-03     142 A       207 A       153 A   
   1.50 keV   3.805E-02  1.359E-03     150 A       215 A       160 A   
   1.60 keV   3.930E-02  1.364E-03     158 A       223 A       166 A   
   1.70 keV   4.051E-02  1.368E-03     166 A       231 A       172 A   
   1.80 keV   4.169E-02  1.372E-03     174 A       239 A       178 A   
   2.00 keV   4.394E-02  1.376E-03     190 A       254 A       190 A   
   2.25 keV   4.622E-02  1.377E-03     210 A       272 A       204 A   
   2.50 keV   4.835E-02  1.376E-03     230 A       290 A       218 A   
   2.75 keV   5.037E-02  1.372E-03     249 A       307 A       231 A   
   3.00 keV   5.231E-02  1.367E-03     269 A       323 A       244 A   
   3.25 keV   5.416E-02  1.361E-03     288 A       339 A       257 A   
   3.50 keV   5.594E-02  1.354E-03     308 A       354 A       269 A   
   3.75 keV   5.765E-02  1.346E-03     327 A       369 A       281 A   
   4.00 keV   5.931E-02  1.338E-03     347 A       384 A       293 A   
   4.50 keV   6.247E-02  1.320E-03     385 A       411 A       316 A   
   5.00 keV   6.545E-02  1.301E-03     424 A       438 A       338 A   
