 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Tin.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6939E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.040E-02  1.797E-03     104 A       168 A       124 A   
   1.10 keV   3.188E-02  1.811E-03     113 A       178 A       131 A   
   1.20 keV   3.330E-02  1.822E-03     121 A       188 A       139 A   
   1.30 keV   3.466E-02  1.829E-03     130 A       197 A       146 A   
   1.40 keV   3.597E-02  1.835E-03     138 A       206 A       152 A   
   1.50 keV   3.723E-02  1.839E-03     146 A       215 A       159 A   
   1.60 keV   3.845E-02  1.841E-03     154 A       223 A       166 A   
   1.70 keV   3.964E-02  1.843E-03     163 A       231 A       172 A   
   1.80 keV   4.078E-02  1.843E-03     171 A       239 A       178 A   
   2.00 keV   4.299E-02  1.840E-03     187 A       255 A       190 A   
   2.25 keV   4.561E-02  1.833E-03     208 A       273 A       205 A   
   2.50 keV   4.808E-02  1.823E-03     228 A       291 A       219 A   
   2.75 keV   5.043E-02  1.811E-03     248 A       308 A       232 A   
   3.00 keV   5.268E-02  1.797E-03     268 A       325 A       246 A   
   3.25 keV   5.484E-02  1.782E-03     288 A       341 A       258 A   
   3.50 keV   5.692E-02  1.767E-03     307 A       356 A       270 A   
   3.75 keV   5.892E-02  1.751E-03     327 A       371 A       282 A   
   4.00 keV   6.086E-02  1.735E-03     347 A       385 A       294 A   
   4.50 keV   6.456E-02  1.702E-03     386 A       412 A       317 A   
   5.00 keV   6.805E-02  1.669E-03     425 A       438 A       338 A   
