 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Strontium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.6000E+00 g/cm3 = 1.7869E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sr     38    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.761E-02  2.666E-03     235 A       291 A       219 A   
   1.10 keV   6.043E-02  2.675E-03     254 A       307 A       231 A   
   1.20 keV   6.311E-02  2.679E-03     272 A       323 A       244 A   
   1.30 keV   6.569E-02  2.680E-03     291 A       338 A       256 A   
   1.40 keV   6.817E-02  2.678E-03     309 A       353 A       267 A   
   1.50 keV   7.056E-02  2.674E-03     327 A       367 A       278 A   
   1.60 keV   7.288E-02  2.668E-03     345 A       380 A       289 A   
   1.70 keV   7.512E-02  2.661E-03     363 A       394 A       300 A   
   1.80 keV   7.730E-02  2.653E-03     381 A       407 A       311 A   
   2.00 keV   8.148E-02  2.634E-03     416 A       431 A       331 A   
   2.25 keV   8.654E-02  2.606E-03     460 A       460 A       355 A   
   2.50 keV   9.134E-02  2.576E-03     503 A       488 A       378 A   
   2.75 keV   9.590E-02  2.544E-03     546 A       514 A       400 A   
   3.00 keV   1.003E-01  2.511E-03     588 A       539 A       421 A   
   3.25 keV   1.044E-01  2.478E-03     629 A       563 A       441 A   
   3.50 keV   1.085E-01  2.445E-03     671 A       585 A       460 A   
   3.75 keV   1.123E-01  2.413E-03     712 A       607 A       479 A   
   4.00 keV   1.161E-01  2.381E-03     752 A       628 A       497 A   
   4.50 keV   1.232E-01  2.318E-03     832 A       668 A       532 A   
   5.00 keV   1.300E-01  2.258E-03     911 A       704 A       565 A   
