 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Terbium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  8.2300E+00 g/cm3 = 3.1184E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Tb     65    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.832E-02  1.211E-03     103 A       167 A       123 A   
   1.10 keV   2.970E-02  1.225E-03     111 A       177 A       130 A   
   1.20 keV   3.102E-02  1.237E-03     119 A       186 A       137 A   
   1.30 keV   3.229E-02  1.246E-03     127 A       195 A       143 A   
   1.40 keV   3.351E-02  1.255E-03     134 A       203 A       150 A   
   1.50 keV   3.469E-02  1.261E-03     142 A       211 A       156 A   
   1.60 keV   3.582E-02  1.267E-03     150 A       220 A       163 A   
   1.70 keV   3.693E-02  1.271E-03     157 A       228 A       169 A   
   1.80 keV   3.800E-02  1.275E-03     165 A       235 A       175 A   
   2.00 keV   4.005E-02  1.280E-03     180 A       250 A       186 A   
   2.25 keV   4.204E-02  1.282E-03     199 A       268 A       200 A   
   2.50 keV   4.388E-02  1.282E-03     218 A       285 A       214 A   
   2.75 keV   4.563E-02  1.280E-03     236 A       302 A       227 A   
   3.00 keV   4.730E-02  1.277E-03     255 A       318 A       240 A   
   3.25 keV   4.889E-02  1.272E-03     274 A       334 A       252 A   
   3.50 keV   5.043E-02  1.266E-03     292 A       350 A       265 A   
   3.75 keV   5.190E-02  1.260E-03     311 A       365 A       277 A   
   4.00 keV   5.332E-02  1.253E-03     330 A       379 A       288 A   
   4.50 keV   5.603E-02  1.238E-03     367 A       408 A       311 A   
   5.00 keV   5.859E-02  1.221E-03     404 A       435 A       333 A   
