 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Technetium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.1500E+01 g/cm3 = 7.1395E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Tc     43    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.606E-02  2.399E-03      56 A        78 A        58 A   
   1.10 keV   4.831E-02  2.411E-03      61 A        82 A        61 A   
   1.20 keV   5.046E-02  2.420E-03      66 A        86 A        65 A   
   1.30 keV   5.252E-02  2.425E-03      70 A        91 A        68 A   
   1.40 keV   5.450E-02  2.427E-03      74 A        95 A        71 A   
   1.50 keV   5.641E-02  2.428E-03      79 A        98 A        74 A   
   1.60 keV   5.826E-02  2.427E-03      83 A       102 A        77 A   
   1.70 keV   6.006E-02  2.424E-03      88 A       106 A        80 A   
   1.80 keV   6.180E-02  2.420E-03      92 A       109 A        83 A   
   2.00 keV   6.514E-02  2.409E-03     101 A       116 A        88 A   
   2.25 keV   6.817E-02  2.391E-03     111 A       124 A        95 A   
   2.50 keV   7.099E-02  2.370E-03     122 A       132 A       101 A   
   2.75 keV   7.368E-02  2.347E-03     133 A       140 A       107 A   
   3.00 keV   7.626E-02  2.322E-03     144 A       147 A       113 A   
   3.25 keV   7.874E-02  2.297E-03     154 A       155 A       119 A   
   3.50 keV   8.113E-02  2.271E-03     165 A       162 A       125 A   
   3.75 keV   8.345E-02  2.245E-03     176 A       168 A       131 A   
   4.00 keV   8.569E-02  2.220E-03     186 A       175 A       136 A   
   4.50 keV   8.999E-02  2.168E-03     208 A       187 A       147 A   
   5.00 keV   9.407E-02  2.119E-03     229 A       199 A       157 A   
