 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Tellurium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  6.2500E+00 g/cm3 = 2.9496E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Te     52    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.349E-02  1.602E-03     124 A       189 A       139 A   
   1.10 keV   3.513E-02  1.615E-03     134 A       200 A       148 A   
   1.20 keV   3.669E-02  1.625E-03     144 A       210 A       156 A   
   1.30 keV   3.819E-02  1.633E-03     153 A       220 A       163 A   
   1.40 keV   3.963E-02  1.639E-03     163 A       230 A       171 A   
   1.50 keV   4.102E-02  1.644E-03     173 A       239 A       178 A   
   1.60 keV   4.237E-02  1.647E-03     182 A       249 A       185 A   
   1.70 keV   4.367E-02  1.648E-03     192 A       258 A       192 A   
   1.80 keV   4.494E-02  1.649E-03     201 A       267 A       199 A   
   2.00 keV   4.737E-02  1.648E-03     220 A       283 A       213 A   
   2.25 keV   5.036E-02  1.643E-03     243 A       304 A       229 A   
   2.50 keV   5.322E-02  1.636E-03     266 A       323 A       244 A   
   2.75 keV   5.596E-02  1.626E-03     289 A       341 A       258 A   
   3.00 keV   5.858E-02  1.615E-03     312 A       359 A       272 A   
   3.25 keV   6.111E-02  1.603E-03     334 A       375 A       286 A   
   3.50 keV   6.355E-02  1.590E-03     357 A       392 A       299 A   
   3.75 keV   6.591E-02  1.576E-03     379 A       407 A       312 A   
   4.00 keV   6.820E-02  1.563E-03     401 A       422 A       324 A   
   4.50 keV   7.259E-02  1.534E-03     445 A       451 A       348 A   
   5.00 keV   7.675E-02  1.506E-03     488 A       478 A       371 A   
