 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Thallium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.1850E+01 g/cm3 = 3.4916E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Tl     81    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.746E-02  8.489E-04      84 A       166 A       120 A   
   1.10 keV   1.831E-02  8.614E-04      91 A       175 A       127 A   
   1.20 keV   1.912E-02  8.722E-04      97 A       184 A       134 A   
   1.30 keV   1.991E-02  8.815E-04     104 A       193 A       141 A   
   1.40 keV   2.066E-02  8.895E-04     110 A       202 A       147 A   
   1.50 keV   2.138E-02  8.964E-04     116 A       211 A       154 A   
   1.60 keV   2.208E-02  9.024E-04     123 A       219 A       160 A   
   1.70 keV   2.276E-02  9.076E-04     129 A       227 A       166 A   
   1.80 keV   2.342E-02  9.121E-04     135 A       235 A       172 A   
   2.00 keV   2.469E-02  9.193E-04     148 A       250 A       183 A   
   2.25 keV   2.598E-02  9.256E-04     163 A       268 A       197 A   
   2.50 keV   2.719E-02  9.297E-04     179 A       286 A       211 A   
   2.75 keV   2.834E-02  9.320E-04     194 A       303 A       224 A   
   3.00 keV   2.944E-02  9.328E-04     209 A       320 A       237 A   
   3.25 keV   3.049E-02  9.326E-04     225 A       337 A       250 A   
   3.50 keV   3.150E-02  9.315E-04     240 A       353 A       262 A   
   3.75 keV   3.248E-02  9.297E-04     255 A       368 A       274 A   
   4.00 keV   3.342E-02  9.273E-04     271 A       384 A       286 A   
   4.50 keV   3.522E-02  9.212E-04     301 A       413 A       309 A   
   5.00 keV   3.692E-02  9.138E-04     332 A       441 A       331 A   
