 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Thulium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.3210E+00 g/cm3 = 3.3227E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Tm     69    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.444E-02  1.117E-03      95 A       164 A       120 A   
   1.10 keV   2.564E-02  1.131E-03     102 A       173 A       127 A   
   1.20 keV   2.678E-02  1.142E-03     109 A       182 A       134 A   
   1.30 keV   2.787E-02  1.152E-03     117 A       191 A       140 A   
   1.40 keV   2.892E-02  1.160E-03     124 A       199 A       147 A   
   1.50 keV   2.994E-02  1.167E-03     131 A       208 A       153 A   
   1.60 keV   3.092E-02  1.173E-03     138 A       216 A       159 A   
   1.70 keV   3.187E-02  1.178E-03     145 A       224 A       165 A   
   1.80 keV   3.280E-02  1.182E-03     152 A       231 A       171 A   
   2.00 keV   3.457E-02  1.188E-03     166 A       246 A       182 A   
   2.25 keV   3.642E-02  1.192E-03     184 A       264 A       196 A   
   2.50 keV   3.814E-02  1.194E-03     201 A       281 A       209 A   
   2.75 keV   3.977E-02  1.193E-03     218 A       298 A       222 A   
   3.00 keV   4.132E-02  1.191E-03     235 A       314 A       235 A   
   3.25 keV   4.279E-02  1.188E-03     253 A       329 A       247 A   
   3.50 keV   4.420E-02  1.183E-03     270 A       345 A       259 A   
   3.75 keV   4.555E-02  1.178E-03     287 A       360 A       271 A   
   4.00 keV   4.686E-02  1.173E-03     304 A       374 A       282 A   
   4.50 keV   4.932E-02  1.160E-03     338 A       402 A       305 A   
   5.00 keV   5.164E-02  1.147E-03     373 A       429 A       326 A   
