 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Vanadium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.9600E+00 g/cm3 = 7.0455E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      V     23    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.265E-02  5.104E-03      94 A       120 A        90 A   
   1.10 keV   5.522E-02  5.072E-03     102 A       127 A        96 A   
   1.20 keV   5.767E-02  5.036E-03     110 A       134 A       101 A   
   1.30 keV   6.003E-02  4.997E-03     119 A       141 A       107 A   
   1.40 keV   6.229E-02  4.955E-03     127 A       148 A       112 A   
   1.50 keV   6.448E-02  4.912E-03     135 A       154 A       117 A   
   1.60 keV   6.660E-02  4.868E-03     143 A       160 A       122 A   
   1.70 keV   6.865E-02  4.824E-03     152 A       166 A       127 A   
   1.80 keV   7.064E-02  4.779E-03     160 A       172 A       132 A   
   2.00 keV   7.446E-02  4.689E-03     176 A       184 A       141 A   
   2.25 keV   7.879E-02  4.579E-03     197 A       197 A       152 A   
   2.50 keV   8.287E-02  4.472E-03     217 A       210 A       163 A   
   2.75 keV   8.674E-02  4.368E-03     237 A       222 A       173 A   
   3.00 keV   9.044E-02  4.269E-03     257 A       233 A       183 A   
   3.25 keV   9.398E-02  4.174E-03     277 A       244 A       193 A   
   3.50 keV   9.738E-02  4.084E-03     297 A       255 A       202 A   
   3.75 keV   1.007E-01  3.997E-03     317 A       265 A       211 A   
   4.00 keV   1.038E-01  3.915E-03     337 A       275 A       220 A   
   4.50 keV   1.099E-01  3.760E-03     377 A       294 A       237 A   
   5.00 keV   1.156E-01  3.619E-03     416 A       311 A       253 A   
