 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Tungsten.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.9350E+01 g/cm3 = 6.3381E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      W     74    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.506E-02  9.883E-04      50 A       107 A        78 A   
   1.10 keV   1.579E-02  1.002E-03      54 A       113 A        82 A   
   1.20 keV   1.650E-02  1.013E-03      58 A       119 A        87 A   
   1.30 keV   1.717E-02  1.023E-03      62 A       125 A        91 A   
   1.40 keV   1.782E-02  1.031E-03      66 A       131 A        95 A   
   1.50 keV   1.844E-02  1.038E-03      70 A       137 A       100 A   
   1.60 keV   1.905E-02  1.044E-03      74 A       142 A       104 A   
   1.70 keV   1.964E-02  1.049E-03      78 A       148 A       108 A   
   1.80 keV   2.020E-02  1.053E-03      82 A       153 A       112 A   
   2.00 keV   2.130E-02  1.060E-03      89 A       163 A       119 A   
   2.25 keV   2.235E-02  1.065E-03      99 A       176 A       129 A   
   2.50 keV   2.336E-02  1.068E-03     109 A       188 A       138 A   
   2.75 keV   2.435E-02  1.069E-03     119 A       199 A       147 A   
   3.00 keV   2.533E-02  1.068E-03     128 A       211 A       155 A   
   3.25 keV   2.628E-02  1.066E-03     138 A       222 A       164 A   
   3.50 keV   2.721E-02  1.064E-03     148 A       233 A       172 A   
   3.75 keV   2.813E-02  1.060E-03     157 A       243 A       180 A   
   4.00 keV   2.904E-02  1.056E-03     167 A       254 A       188 A   
   4.50 keV   3.081E-02  1.047E-03     186 A       274 A       204 A   
   5.00 keV   3.253E-02  1.036E-03     206 A       293 A       219 A   
