 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Xenon (gas).txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.8900E-03 g/cm3 = 2.7014E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Xe     54    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.792E-02  1.555E-03   12.86 um    18.58 um    13.76 um  
   1.10 keV   3.977E-02  1.569E-03   13.87 um    19.63 um    14.56 um  
   1.20 keV   4.153E-02  1.580E-03   14.87 um    20.63 um    15.34 um  
   1.30 keV   4.323E-02  1.588E-03   15.86 um    21.61 um    16.09 um  
   1.40 keV   4.486E-02  1.595E-03   16.84 um    22.55 um    16.82 um  
   1.50 keV   4.644E-02  1.600E-03   17.81 um    23.46 um    17.53 um  
   1.60 keV   4.796E-02  1.603E-03   18.78 um    24.35 um    18.22 um  
   1.70 keV   4.944E-02  1.606E-03   19.74 um    25.22 um    18.90 um  
   1.80 keV   5.087E-02  1.607E-03   20.69 um    26.06 um    19.56 um  
   2.00 keV   5.362E-02  1.607E-03   22.59 um    27.68 um    20.84 um  
   2.25 keV   5.656E-02  1.604E-03   24.94 um    29.61 um    22.39 um  
   2.50 keV   5.934E-02  1.598E-03   27.28 um    31.46 um    23.87 um  
   2.75 keV   6.199E-02  1.590E-03   29.60 um    33.24 um    25.30 um  
   3.00 keV   6.454E-02  1.580E-03   31.91 um    34.96 um    26.68 um  
   3.25 keV   6.699E-02  1.569E-03   34.20 um    36.61 um    28.02 um  
   3.50 keV   6.936E-02  1.557E-03   36.49 um    38.21 um    29.33 um  
