 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Yttrium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.4690E+00 g/cm3 = 3.0271E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      Y     39    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.275E-02  2.644E-03     139 A       180 A       135 A   
   1.10 keV   5.533E-02  2.653E-03     150 A       190 A       143 A   
   1.20 keV   5.779E-02  2.659E-03     161 A       200 A       150 A   
   1.30 keV   6.015E-02  2.660E-03     172 A       209 A       158 A   
   1.40 keV   6.242E-02  2.660E-03     183 A       219 A       165 A   
   1.50 keV   6.461E-02  2.657E-03     194 A       227 A       172 A   
   1.60 keV   6.673E-02  2.652E-03     205 A       236 A       179 A   
   1.70 keV   6.878E-02  2.646E-03     216 A       244 A       185 A   
   1.80 keV   7.077E-02  2.638E-03     227 A       252 A       192 A   
   2.00 keV   7.460E-02  2.621E-03     248 A       268 A       205 A   
   2.25 keV   7.822E-02  2.595E-03     274 A       287 A       220 A   
   2.50 keV   8.154E-02  2.566E-03     301 A       304 A       234 A   
   2.75 keV   8.467E-02  2.536E-03     327 A       321 A       249 A   
   3.00 keV   8.764E-02  2.505E-03     353 A       338 A       262 A   
   3.25 keV   9.046E-02  2.473E-03     379 A       354 A       276 A   
   3.50 keV   9.315E-02  2.442E-03     405 A       370 A       289 A   
   3.75 keV   9.573E-02  2.410E-03     432 A       385 A       302 A   
   4.00 keV   9.821E-02  2.379E-03     458 A       399 A       314 A   
   4.50 keV   1.029E-01  2.318E-03     509 A       427 A       339 A   
   5.00 keV   1.073E-01  2.259E-03     561 A       454 A       362 A   
