 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Ytterbium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  6.9600E+00 g/cm3 = 2.4222E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Yb     70    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.528E-02  1.075E-03     128 A       216 A       158 A   
   1.10 keV   2.652E-02  1.088E-03     138 A       229 A       168 A   
   1.20 keV   2.770E-02  1.100E-03     147 A       241 A       177 A   
   1.30 keV   2.883E-02  1.110E-03     157 A       252 A       185 A   
   1.40 keV   2.992E-02  1.118E-03     167 A       263 A       194 A   
   1.50 keV   3.097E-02  1.125E-03     176 A       274 A       202 A   
   1.60 keV   3.198E-02  1.130E-03     186 A       285 A       210 A   
   1.70 keV   3.297E-02  1.135E-03     195 A       295 A       218 A   
   1.80 keV   3.392E-02  1.139E-03     205 A       305 A       226 A   
   2.00 keV   3.576E-02  1.145E-03     223 A       324 A       241 A   
   2.25 keV   3.755E-02  1.150E-03     247 A       348 A       259 A   
   2.50 keV   3.920E-02  1.151E-03     270 A       370 A       276 A   
   2.75 keV   4.076E-02  1.151E-03     293 A       392 A       293 A   
   3.00 keV   4.224E-02  1.149E-03     316 A       413 A       310 A   
   3.25 keV   4.364E-02  1.146E-03     339 A       434 A       326 A   
   3.50 keV   4.498E-02  1.143E-03     362 A       454 A       342 A   
   3.75 keV   4.627E-02  1.138E-03     385 A       474 A       358 A   
   4.00 keV   4.751E-02  1.133E-03     408 A       494 A       373 A   
   4.50 keV   4.984E-02  1.121E-03     455 A       531 A       403 A   
