 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Zinc.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  7.1400E+00 g/cm3 = 6.5755E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zn     30    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.118E-02  3.929E-03      85 A       123 A        91 A   
   1.10 keV   4.319E-02  3.924E-03      92 A       130 A        97 A   
   1.20 keV   4.511E-02  3.915E-03      99 A       137 A       102 A   
   1.30 keV   4.695E-02  3.901E-03     107 A       144 A       108 A   
   1.40 keV   4.873E-02  3.885E-03     114 A       151 A       113 A   
   1.50 keV   5.044E-02  3.867E-03     121 A       158 A       118 A   
   1.60 keV   5.209E-02  3.846E-03     128 A       164 A       123 A   
   1.70 keV   5.369E-02  3.825E-03     136 A       171 A       128 A   
   1.80 keV   5.525E-02  3.802E-03     143 A       177 A       133 A   
   2.00 keV   5.824E-02  3.754E-03     158 A       189 A       143 A   
   2.25 keV   6.192E-02  3.692E-03     176 A       203 A       154 A   
   2.50 keV   6.542E-02  3.629E-03     194 A       216 A       165 A   
   2.75 keV   6.875E-02  3.566E-03     212 A       229 A       175 A   
   3.00 keV   7.192E-02  3.504E-03     230 A       241 A       185 A   
   3.25 keV   7.497E-02  3.443E-03     247 A       253 A       195 A   
   3.50 keV   7.788E-02  3.383E-03     265 A       264 A       205 A   
   3.75 keV   8.068E-02  3.326E-03     283 A       275 A       214 A   
   4.00 keV   8.337E-02  3.270E-03     301 A       285 A       223 A   
   4.50 keV   8.845E-02  3.163E-03     336 A       305 A       240 A   
   5.00 keV   9.315E-02  3.063E-03     371 A       324 A       256 A   
