 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Zirconium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  6.4900E+00 g/cm3 = 4.2845E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.641E-02  2.563E-03      99 A       136 A       101 A   
   1.10 keV   4.868E-02  2.573E-03     107 A       143 A       107 A   
   1.20 keV   5.084E-02  2.579E-03     115 A       151 A       113 A   
   1.30 keV   5.292E-02  2.582E-03     123 A       158 A       119 A   
   1.40 keV   5.492E-02  2.582E-03     131 A       165 A       124 A   
   1.50 keV   5.684E-02  2.580E-03     139 A       172 A       129 A   
   1.60 keV   5.871E-02  2.576E-03     147 A       179 A       135 A   
   1.70 keV   6.052E-02  2.571E-03     155 A       185 A       140 A   
   1.80 keV   6.227E-02  2.565E-03     162 A       191 A       145 A   
   2.00 keV   6.564E-02  2.549E-03     178 A       203 A       154 A   
   2.25 keV   6.918E-02  2.525E-03     197 A       218 A       166 A   
   2.50 keV   7.250E-02  2.499E-03     216 A       231 A       177 A   
   2.75 keV   7.564E-02  2.471E-03     235 A       244 A       188 A   
   3.00 keV   7.862E-02  2.442E-03     254 A       257 A       198 A   
   3.25 keV   8.148E-02  2.412E-03     273 A       269 A       208 A   
   3.50 keV   8.422E-02  2.382E-03     291 A       281 A       218 A   
   3.75 keV   8.686E-02  2.352E-03     310 A       293 A       228 A   
   4.00 keV   8.940E-02  2.323E-03     329 A       304 A       237 A   
   4.50 keV   9.423E-02  2.265E-03     366 A       325 A       255 A   
   5.00 keV   9.878E-02  2.209E-03     403 A       345 A       273 A   
